identity_line_item_id,bill_payer_account_id,line_item_usage_account_id,product_code,line_item_resource_id,resource_type,product_region,line_item_usage_type,line_item_unblended_cost,billing_period_start_date,billing_period_end_date,resource_tags,state
aws-li-0001,123456789012,123456789012,AmazonEC2,vol-0a1b2c3d4e5f6a7b,ebs_volume,us-east-1,USE1-EBS:VolumeUsage.gp3,42.00,2026-05-01,2026-05-31,"{""Name"": ""legacy-data-vol"", ""env"": ""prod"", ""team"": ""data-eng""}","{""attachment_state"": ""available"", ""size_gib"": 500, ""volume_type"": ""gp3""}"
aws-li-0002,123456789012,123456789012,AmazonEC2,vol-0f9e8d7c6b5a4321,ebs_volume,us-west-2,USW2-EBS:VolumeUsage.gp2,18.50,2026-05-01,2026-05-31,"{""Name"": ""detached-scratch"", ""env"": ""staging""}","{""attachment_state"": ""available"", ""size_gib"": 200, ""volume_type"": ""gp2""}"
aws-li-0003,123456789012,123456789012,AmazonEC2,vol-0123456789abcdef0,ebs_volume,us-east-1,USE1-EBS:VolumeUsage.gp3,64.00,2026-05-01,2026-05-31,"{""Name"": ""app-root-vol"", ""env"": ""prod"", ""team"": ""platform""}","{""attachment_state"": ""attached"", ""size_gib"": 800, ""volume_type"": ""gp3"", ""attached_instance"": ""i-0c0ffee1234567890""}"
aws-li-0004,123456789012,123456789012,AmazonEC2,i-0a1b2c3d4e5f6a7b1,ec2_instance,us-east-1,BoxUsage:m5.xlarge,138.24,2026-05-01,2026-05-31,"{""Name"": ""reporting-worker"", ""env"": ""prod"", ""team"": ""analytics""}","{""power_state"": ""running"", ""avg_cpu_percent"": 1.2, ""avg_network_bytes"": 12000, ""instance_type"": ""m5.xlarge""}"
aws-li-0005,123456789012,123456789012,AmazonEC2,i-0f1e2d3c4b5a69788,ec2_instance,eu-west-1,BoxUsage:t3.large,71.50,2026-05-01,2026-05-31,"{""Name"": ""old-jenkins-agent"", ""env"": ""dev""}","{""power_state"": ""running"", ""avg_cpu_percent"": 0.8, ""avg_network_bytes"": 4096, ""instance_type"": ""t3.large""}"
aws-li-0006,123456789012,123456789012,AmazonEC2,i-0998877665544332f,ec2_instance,us-east-1,BoxUsage:m5.xlarge,138.24,2026-05-01,2026-05-31,"{""Name"": ""api-server-01"", ""env"": ""prod"", ""team"": ""platform""}","{""power_state"": ""running"", ""avg_cpu_percent"": 45.0, ""avg_network_bytes"": 9000000, ""instance_type"": ""m5.xlarge""}"
aws-li-0007,123456789012,123456789012,AmazonEC2,i-0aa11bb22cc33dd44,ec2_instance,us-west-2,BoxUsage:t3.medium,5.00,2026-05-01,2026-05-31,"{""Name"": ""batch-runner"", ""env"": ""prod""}","{""power_state"": ""stopped"", ""avg_cpu_percent"": 0.0, ""avg_network_bytes"": 0, ""instance_type"": ""t3.medium""}"
aws-li-0008,123456789012,123456789012,AmazonEC2,eipalloc-0a1b2c3d4e5f6a7b,elastic_ip,us-east-1,ElasticIP:IdleAddress,3.60,2026-05-01,2026-05-31,"{""Name"": ""dangling-eip"", ""env"": ""prod""}","{""associated"": false}"
aws-li-0009,123456789012,123456789012,AmazonEC2,eipalloc-0f9e8d7c6b5a4321,elastic_ip,us-east-1,ElasticIP:InUseAddress,3.60,2026-05-01,2026-05-31,"{""Name"": ""nat-eip"", ""env"": ""prod""}","{""associated"": true, ""association_id"": ""eipassoc-0abc12345""}"
aws-li-0010,123456789012,123456789012,AmazonRDS,prod-analytics-replica,rds_instance,us-east-1,InstanceUsage:db.r5.2xlarge,412.00,2026-05-01,2026-05-31,"{""Name"": ""prod-analytics-replica"", ""env"": ""prod"", ""team"": ""analytics""}","{""connections_avg"": 0, ""power_state"": ""available"", ""engine"": ""postgres"", ""instance_class"": ""db.r5.2xlarge""}"
aws-li-0011,123456789012,123456789012,AmazonRDS,staging-postgres-main,rds_instance,us-west-2,InstanceUsage:db.r5.large,380.00,2026-05-01,2026-05-31,"{""Name"": ""staging-postgres-main"", ""env"": ""staging"", ""team"": ""backend""}","{""connections_avg"": 120, ""power_state"": ""available"", ""engine"": ""postgres"", ""instance_class"": ""db.r5.large""}"
aws-li-0012,123456789012,123456789012,AWSELB,arn:aws:elasticloadbalancing:us-east-1:123456789012:loadbalancer/app/legacy-api/abc123def4567890,load_balancer,us-east-1,LoadBalancerUsage,22.50,2026-05-01,2026-05-31,"{""Name"": ""legacy-api"", ""env"": ""prod"", ""team"": ""platform""}","{""request_count"": 0, ""healthy_targets"": 0, ""lb_type"": ""application""}"
aws-li-0013,123456789012,123456789012,AWSELB,arn:aws:elasticloadbalancing:us-east-1:123456789012:loadbalancer/app/checkout-svc/def456abc7890123,load_balancer,us-east-1,LoadBalancerUsage,24.30,2026-05-01,2026-05-31,"{""Name"": ""checkout-svc"", ""env"": ""prod"", ""team"": ""payments""}","{""request_count"": 1500000, ""healthy_targets"": 4, ""lb_type"": ""application""}"
aws-li-0014,123456789012,123456789012,AmazonEC2,snap-0a1b2c3d4e5f6a7b,snapshot,us-east-1,EBS:SnapshotUsage,8.40,2026-05-01,2026-05-31,"{""Name"": ""pre-migration-snap"", ""env"": ""prod""}","{""age_days"": 210, ""source_volume_exists"": false, ""size_gib"": 500}"
aws-li-0015,123456789012,123456789012,AmazonEC2,snap-0f9e8d7c6b5a4321,snapshot,us-west-2,EBS:SnapshotUsage,4.20,2026-05-01,2026-05-31,"{""Name"": ""quarterly-backup"", ""env"": ""staging""}","{""age_days"": 95, ""source_volume_exists"": true, ""size_gib"": 200}"
aws-li-0016,123456789012,123456789012,AmazonEC2,snap-0123456789abcdef0,snapshot,us-east-1,EBS:SnapshotUsage,6.00,2026-05-01,2026-05-31,"{""Name"": ""nightly-backup"", ""env"": ""prod""}","{""age_days"": 10, ""source_volume_exists"": true, ""size_gib"": 300}"
aws-li-0017,123456789012,123456789012,AmazonEC2,nat-0a1b2c3d4e5f6a7b,nat_gateway,us-east-1,NatGateway-Hours,32.85,2026-05-01,2026-05-31,"{""Name"": ""unused-nat-az1"", ""env"": ""prod""}","{""active_connection_count"": 0, ""bytes_processed"": 0}"
aws-li-0018,123456789012,123456789012,AmazonEC2,nat-0f9e8d7c6b5a4321,nat_gateway,us-east-1,NatGateway-Hours,34.20,2026-05-01,2026-05-31,"{""Name"": ""prod-nat-az1"", ""env"": ""prod""}","{""active_connection_count"": 1850, ""bytes_processed"": 74000000000}"
aws-li-0019,123456789012,123456789012,AmazonEC2,vol-0deadbeef00112233,ebs_volume,eu-west-1,EUW1-EBS:VolumeUsage.gp3,12.00,2026-05-01,2026-05-31,"{""Name"": ""logs-vol"", ""env"": ""dev""}","{""attachment_state"": ""attached"", ""size_gib"": 150, ""volume_type"": ""gp3"", ""attached_instance"": ""i-0f1e2d3c4b5a69788""}"
aws-li-0020,123456789012,123456789012,AmazonEC2,i-0c0ffee1234567890,ec2_instance,us-east-1,BoxUsage:m5.large,95.00,2026-05-01,2026-05-31,"{""Name"": ""db-proxy"", ""env"": ""prod"", ""team"": ""platform""}","{""power_state"": ""running"", ""avg_cpu_percent"": 3.0, ""avg_network_bytes"": 250000, ""instance_type"": ""m5.large""}"
